block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
1,0,Intro,AsianGirl,AsianBoy,circleBlack,none,left,0,,black-background,FAM
1,1,hiDoa,AsianGirlOutline,AsianBoyGray,circleBlack,Outgroup,left,0,,black-background,intro
1,2,hiRaylor,AsianGirlGray,AsianBoyOutline,circleBlack,Ingroup,right,1,,black-background,intro
1,3,itsthat_apple,AsianGirlOutline,AsianBoyGray,ApplecircleBlack,appleOutgroup,left,0,,black-background,FAM
1,4,itssee_apple,AsianGirlGray,AsianBoyOutline,ApplecircleBlack,appleIngroup,right,1,,black-background,FAM
1,5,thatits_car,AsianGirlGray,AsianBoyOutline,TruckcircleBlack,carIngroup,right,1,,black-background,FAM
1,6,itssee_car,AsianGirlOutline,AsianBoyGray,TruckcircleBlack,carOutgropu,left,0,,black-background,FAM
1,7,thatits_ball,AsianGirlOutline,AsianBoyGray,BallcircleBlack,ballOutgroup,left,0,,black-background,FAM
1,8,seethat_ball,AsianGirlGray,AsianBoyOutline,BallcircleBlack,ballIngroup,right,1,,black-background,FAM
1,9,seethat_shoe,AsianGirlOutline,AsianBoyGray,ShoecircleBlack,shoeOutgroup,left,0,,black-background,FAM
1,10,thatits_shoe,AsianGirlGray,AsianBoyOutline,ShoecircleBlack,shoeIngroup,right,1,,black-background,FAM
2,11,find_car,truckSquare,ballSquare,Black,car,left,0,,black-background,FAM_LWL
2,12,where_apple,appleSquare,shoeSquare,Black,apple,left,0,,black-background,FAM_LWL
2,13,where_ball,truckSquare,ballSquare,Black,ball,right,1,,black-background,FAM_LWL
2,14,find_shoe,shoeSquare,appleSquare,Black,shoe,left,0,,black-background,FAM_LWL
2,15,check_out,LbeachBlack,RbeachBlack,Black,AG,left,0,,black-background,filler
3,16,thatsee_kita,AsianGirlOutline,AsianBoyGray,nov1S1Circle,kita,left,0,,black-background,Teaching
3,17,seethat_blicket,AsianGirlGray,AsianBoyOutline,nov1S1Circle,blicket,right,1,,black-background,Teaching
3,18,seethat_cheem,AsianGirlGray,AsianBoyOutline,nov2S1Circle,cheem,right,1,,black-background,Teaching
3,19,seethat_fisp,AsianGirlOutline,AsianBoyGray,nov2S1Circle,fisp,left,0,,black-background,Teaching
3,20,seethat_manu,AsianGirlOutline,AsianBoyGray,nov3S1Circle,manu,left,0,,black-background,Teaching
3,21,seethat_regli,AsianGirlGray,AsianBoyOutline,nov3S1Circle,regli,right,1,,black-background,Teaching
3,22,seethat_pank,AsianGirlOutline,AsianBoyGray,nov4S1Circle,pank,left,0,,black-background,Teaching
3,23,thatsee_smope,AsianGirlGray,AsianBoyOutline,nov4S1Circle,smope,right,1,,black-background,Teaching
3,24,seethat_cheem,AsianGirlGray,AsianBoyOutline,nov2S1Circle,cheem,right,1,,black-background,Teaching
3,25,seethat_fisp,AsianGirlOutline,AsianBoyGray,nov2S1Circle,fisp,left,0,,black-background,Teaching
3,26,seethat_pank,AsianGirlOutline,AsianBoyGray,nov4S1Circle,pank,left,0,,black-background,Teaching
3,27,thatsee_smope,AsianGirlGray,AsianBoyOutline,nov4S1Circle,smope,right,1,,black-background,Teaching
3,28,seethat_blicket,AsianGirlGray,AsianBoyOutline,nov1S1Circle,blicket,right,1,,black-background,Teaching
3,29,thatsee_kita,AsianGirlOutline,AsianBoyGray,nov1S1Circle,kita,left,0,,black-background,Teaching
3,30,seethat_manu,AsianGirlOutline,AsianBoyGray,nov3S1Circle,manu,left,0,,black-background,Teaching
3,31,seethat_regli,AsianGirlGray,AsianBoyOutline,nov3S1Circle,regli,right,1,,black-background,Teaching
4,32,find_regli,nov1S1Square,nov3S1Square,Black,blicket,left,0,,black-background,ImmTest
4,33,find_smope,nov2S1Square,nov4S1Square,Black,smope,right,1,,black-background,ImmTest
4,34,find_kita,nov4S1Square,nov1S1Square,Black,pank,left,0,,black-background,ImmTest
4,35,find_cheem,nov3S1Square,nov2S1Square,Black,cheem,right,1,,black-background,ImmTest
4,36,find_manu,nov1S1Square,nov3S1Square,Black,kita,left,0,,black-background,ImmTest
4,37,find_pank,nov2S1Square,nov4S1Square,Black,fisp,left,0,,black-background,ImmTest
4,38,find_blicket,nov4S1Square,nov1S1Square,Black,kita,right,1,,black-background,ImmTest
4,39,find_fisp,nov3S1Square,nov2S1Square,Black,regli,left,0,,black-background,ImmTest
4,40,check_out,LbeachBlack,RbeachBlack,Black,AG,left,0,,black-background,filler
5,41,seethat_zorch,AsianGirlOutline,AsianBoyGray,nov5S1Circle,zorch,left,0,,black-background,Teaching
5,42,seethat_jick,AsianGirlGray,AsianBoyOutline,nov5S1Circle,jick,right,1,,black-background,Teaching
5,43,thatsee_teebu,AsianGirlGray,AsianBoyOutline,nov6S1Circle,teebu,right,0,,black-background,Teaching
5,44,thatsee_wiso,AsianGirlOutline,AsianBoyGray,nov6S1Circle,wiso,left,1,,black-background,Teaching
5,45,thatsee_isot,AsianGirlOutline,AsianBoyGray,nov7S1Circle,isot,left,0,,black-background,Teaching
5,46,thatsee_akar,AsianGirlGray,AsianBoyOutline,nov7S1Circle,akar,right,1,,black-background,Teaching
5,47,seethat_leem,AsianGirlGray,AsianBoyOutline,nov8S1Circle,leam,right,0,,black-background,Teaching
5,48,thatsee_doff,AsianGirlOutline,AsianBoyGray,nov8S1Circle,doff,left,1,,black-background,Teaching
5,49,seethat_jick,AsianGirlGray,AsianBoyOutline,nov5S1Circle,jick,right,1,,black-background,Teaching
5,50,seethat_zorch,AsianGirlOutline,AsianBoyGray,nov5S1Circle,zorch,left,0,,black-background,Teaching
5,51,thatsee_isot,AsianGirlOutline,AsianBoyGray,nov7S1Circle,isot,left,0,,black-background,Teaching
5,52,thatsee_akar,AsianGirlGray,AsianBoyOutline,nov7S1Circle,akar,right,1,,black-background,Teaching
5,53,thatsee_doff,AsianGirlOutline,AsianBoyGray,nov8S1Circle,doff,left,0,,black-background,Teaching
5,54,seethat_leem,AsianGirlGray,AsianBoyOutline,nov8S1Circle,leam,right,1,,black-background,Teaching
5,55,thatsee_wiso,AsianGirlOutline,AsianBoyGray,nov6S1Circle,wiso,left,0,,black-background,Teaching
5,56,thatsee_teebu,AsianGirlGray,AsianBoyOutline,nov6S1Circle,teebu,right,1,,black-background,Teaching
6,41,find_zorch,nov5S1Square,nov7S1Square,Black,zorch,left,0,,black-background,ImmTest
6,42,find_doff,nov6S1Square,nov8S1Square,Black,doff,right,1,,black-background,ImmTest
6,43,find_jick,nov8S1Square,nov5S1Square,Black,jick,right,1,,black-background,ImmTest
6,44,find_isot,nov7S1Square,nov6S1Square,Black,isot,left,0,,black-background,ImmTest
6,45,find_akar,nov5S1Square,nov7S1Square,Black,akar,right,1,,black-background,ImmTest
6,46,find_teebu,nov6S1Square,nov8S1Square,Black,teebu,left,0,,black-background,ImmTest
6,47,find_leem,nov8S1Square,nov5S1Square,Black,leam,left,0,,black-background,ImmTest
6,48,find_wiso,nov7S1Square,nov6S1Square,Black,wiso,right,1,,black-background,ImmTest
6,49,End,LoceanBlack,RoceanBlack,Black,AG,left,0,,black-background,filler
